sitename,lat,lon,value,dataset,variable,measurement,dating_convention,calendar,chronology,season,qualitative,calc_anoms,detrend,method
Rarotonga,-21.23,-159.82,0.6,ersst,sst,delta O18,absolute,gregorian,historic,DJF,0,1,1,quintiles
Amedee,-22.48,166.47,-0.26,ersst,sst,delta O18,absolute,gregorian,historic,DJF,0,1,2,quintiles
Oroko,-43.222615,170.307329,-0.42,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,3,quintiles
Greenlaw,-43.006108,171.419497,-0.26,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,4,quintiles
Crow,-43.346222,170.998122,-0.62,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,5,quintiles
Cameron,-42.934067,171.505139,-0.81,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,6,quintiles
Avoca,-43.043031,171.405812,-0.53,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,7,quintiles
Temple,-44.146466,169.709872,-0.79,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,8,quintiles
Hopkins,-43.942569,169.887499,-0.39,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,9,quintiles
Turnbull,-43.877607,169.850303,-0.4,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,10,quintiles
Jollie,-43.697778,170.33,-0.99,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,11,quintiles
Cass,-43.652675,170.315493,-0.16,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,12,quintiles
Caples,-44.801851,168.182845,-0.35,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,13,quintiles
Fraser,-44.786354,168.186884,-0.21,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,14,quintiles
Frances,-44.596521,168.395713,-0.41,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,15,quintiles
Hunter,-44.094444,169.646667,-0.88,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,16,quintiles
Hunter,-44.120833,169.636111,-0.14,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,17,quintiles
Mistake,-44.843612,168.015261,-1.14,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,18,quintiles
Pyke,-44.803611,168.178333,-0.1,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,19,quintiles
Falls Creek,-44.824221,168.015937,-0.71,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,20,quintiles
Pear Drop,-44.251904,168.849048,-0.69,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,21,quintiles
Clarke,-43.873611,169.451667,-0.13,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,22,quintiles
Browning Creek,-43.850548,169.836463,-0.62,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,23,quintiles
Gunn,-43.368294,170.327343,-0.59,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,24,quintiles
Taramakau,-42.899444,171.486667,-0.69,ncep,TMean,delta O18,absolute,gregorian,historic,DJF,0,1,25,quintiles
